Model,Train_ROC_AUC,Test_ROC_AUC,Train_PR_AUC,Test_PR_AUC,Train_F1,Test_F1,Train_Brier,Test_Brier
Logistic Regression,0.9680007101891568,0.898511631466177,0.952935974594221,0.3154006423619661,0.918317096670592,0.3333333333333333,0.06429509811750325,0.07783910007245994
Random Forest,0.9999997187740932,0.9492845117845118,0.9999997186522294,0.44613689721440564,0.9991347609777201,0.4675324675324675,0.0031573249030685258,0.031909954760645724
XGBoost,1.0,0.9474670951943679,0.9999999999999999,0.43505318859162645,1.0,0.5074626865671642,1.7005509549307473e-05,0.028264073216903524
